id,province,code
 1, An Giang,""" 880000"""
 2, Bạc Liêu,"""260000"""
 3, Bắc Cạn,"""960000"""
 4, Bắc Giang,"""220000"""
 5, Bắc Ninh,""" 790000"""
 6, Bến Tre,"""930000"""
 7, Bình Dương,""" 590000"""
 8,Bình Định,""" 820000"""
 9,Bình Phước,"""830000"""
10,Bình Thuận,"""800000"""
11, Cà Mau,""" 970000"""
 12, Cao Bằng,"""270000"""
 12, Cần Thơ,"""900000"""
 14,Đà Nẵng,""" 550000"""
15,Điện Biên,"""380000"""
16,Đắk Lắk,"""630000"""
17,Đắc Nông,"""640000"""
18,Đồng Nai,"""810000"""
19,Đồng Tháp,"""870000"""
20,Gia Lai,"""600000"""
21,Hà Giang,"""310000"""
22,Hà Nam,"""400000"""
23,Hà Tĩnh,"""480000"""
24,Hà Nội,"""100000"""
25,Hải Dương,"""170000"""
26,Hải Phòng,"""180000"""
27,Hậu Giang,"""910000"""
28,Hoà Bình,"""350000"""
29,Tp. Hồ Chí Minh,"""700000"""
30,Hưng Yên,"""160000"""
31,Khánh Hoà,"""650000"""
32,Kiên Giang,"""920000"""
33,Kon Tum,"""580000"""
34,Lai Châu,"""390000"""
35,Lạng Sơn,"""240000"""
36,Lào Cai,"""330000"""
37,Lâm Đồng,"""670000"""
38,Long An,"""850000"""
39,Nam Định,"""420000"""
40,Nghệ An,"""460000 - 470000"""
41,Ninh Bình,"""430000"""
42,Ninh Thuận,"""660000"""
43,Phú Thọ,"""290000"""
44,Phú Yên,"""620000"""
45,Quảng Bình,"""510000"""
46,Quảng Nam,"""560000"""
47,Quảng Ngãi,"""570000"""
48,Quảng Ninh,"""200000"""
49,Quảng Trị,"""520000"""
50,Sóc Trăng,"""950000"""
51,Sơn La,"""360000"""
52,Tây Ninh,"""840000"""
53,Thái Bình,"""410000"""
54,Thái Nguyên,"""250000"""
55,Thanh Hoá,"""440000 - 450000"""
56,Thừa Thiên Huế,"""530000"""
57,Tiền Giang,"""860000"""
58,Trà Vinh,"""940000"""
59,Tuyên Quang,"""300000"""
60,Vĩnh Long,"""890000"""
61,Vĩnh Phúc,"""280000"""
62,Yên Bái,"""320000"""
63,Bà Rịa Vũng Tàu,"""790000"""
